label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Fastiv,UKR,5,53,2,2,2,1,29.942,50.075,0.884,1.23,6806
Cosenza,ITA,5,216,2,1,1,1,16.262,39.359,0.887,1.1,14634
Gera,DEU,5,114,2,1,1,1,12.121,50.879,0.887,2.13,18367
Zhytomyr,UKR,5,286,2,2,2,1,28.679,50.25,0.889,2.33,5779
Angers,FRA,5,260,2,1,1,1,-0.513,47.493,0.891,1.58,16872
Berdychiv,UKR,5,89,2,2,2,1,28.608,49.896,0.891,1.62,5555
Uzhhorod,UKR,5,118,2,2,2,1,22.296,48.615,0.894,2.26,9370
Polevskoj,RUS,5,74,1,1,1,1,60.229,56.446,0.896,0.92,11736
Tomsk,RUS,5,631,2,1,1,1,85.022,56.538,0.896,1.61,12121
Perugia,ITA,5,180,2,1,1,1,12.425,43.067,0.898,1.07,23558
Zwickau,DEU,5,261,2,1,1,1,12.475,50.767,0.902,2.22,18367
Montevarchi,ITA,5,92,1,1,1,1,11.542,43.554,0.905,0.7,26463
Roanne,FRA,5,74,1,1,1,1,4.071,46.042,0.906,0.66,20440
Zalau,ROU,5,60,3,2,2,1,23.067,47.192,0.907,2.75,5264
Rajcihinsk,RUS,5,51,1,2,1,1,129.66,49.75,0.908,0.31,6558
Anzhero_Sudzhensk,RUS,5,150,2,1,1,1,86.121,56.1,0.909,1.93,11037
Campina,ROU,5,94,1,2,1,1,25.708,45.159,0.912,0.84,9469
Spassk_Dalnij,RUS,5,60,1,2,1,1,132.787,44.575,0.914,0.49,9636
Clermont_Ferrand,FRA,5,396,2,1,1,1,3.183,45.775,0.916,1.01,17212
Terni,ITA,5,116,2,1,1,1,12.617,42.567,0.926,1.24,26919
Tetovo,MKD,5,237,2,2,2,1,20.983,41.821,0.928,1.06,5952
Weimar,DEU,5,80,2,1,1,1,11.312,50.929,0.928,1.94,24141
Carsamba,TUR,5,50,2,2,2,1,36.729,41.2,0.928,1.4,3852
Komsomolsk_na_Amure,RUS,5,262,2,1,1,1,137.004,50.446,0.93,1.05,15660
Jihlava,CZE,5,51,2,1,1,1,15.596,49.413,0.932,1.17,17257
Niznij_Tagil,RUS,5,484,2,1,1,1,60.058,57.892,0.933,1.92,13051
Vichy,FRA,5,66,1,1,1,1,3.433,46.15,0.934,0.45,15755
Novouralsk,RUS,5,96,1,1,1,1,60.083,57.271,0.935,0.47,13066
Jena,DEU,5,114,2,1,1,1,11.6,50.913,0.936,2.14,25118
Fier,ALB,5,74,2,3,2,1,19.583,40.725,0.942,1.4,3380
Presov,SVK,5,121,1,2,1,1,21.2,49.021,0.943,0.97,8784
Moinesti,ROU,5,74,1,2,1,1,26.479,46.45,0.945,0.87,6723
Kusva,RUS,5,76,1,1,1,1,59.887,58.175,0.951,0.37,12979
Zlatoust,RUS,5,204,2,2,2,1,59.875,55.071,0.952,1.47,9212
Korosten',UKR,5,68,1,2,1,1,28.642,50.975,0.952,0.69,6420
Arsenjev,RUS,5,73,1,2,1,1,133.308,44.171,0.952,0.66,9636
Cuneo,ITA,5,89,1,1,1,1,7.525,44.363,0.953,0.71,25425
Korce,ALB,5,59,2,2,2,1,20.779,40.621,0.953,2.16,5894
Saalfeld,DEU,5,57,1,1,1,1,11.371,50.675,0.955,0.86,25118
Nakhodka,RUS,5,153,2,2,2,1,132.972,42.869,0.955,1.34,9638
Novohrad_Volyns'kyy,UKR,5,56,2,2,2,1,27.629,50.592,0.958,1.11,5816
Norrkoping,SWE,5,61,1,1,1,1,16.208,58.559,0.958,0.61,20622
Jaslo,POL,5,52,1,2,1,1,21.483,49.75,0.96,0.71,8956
Rennes,FRA,5,398,2,1,1,1,-1.625,48.096,0.961,1.14,19224
Gelendzik,RUS,5,56,2,2,2,1,38.075,44.546,0.965,1.1,7624
Karlskrona,SWE,5,52,1,1,1,1,15.554,56.229,0.965,0.29,21878
Birobid?an,RUS,5,85,1,2,1,1,132.929,48.704,0.973,0.68,4356
Coimbra,PRT,5,298,2,1,1,1,-8.538,40.134,0.975,1.15,13841
Krosno,POL,5,72,2,2,2,1,21.733,49.696,0.977,1.18,8956
Colmar,FRA,5,74,2,1,1,1,7.333,48.088,0.978,1.28,20052
Amursk,RUS,5,53,1,1,1,1,136.838,50.261,0.98,0.78,15660
Greiz,DEU,5,50,2,1,1,1,12.262,50.629,0.981,1.12,18367
Linkoping,SWE,5,114,1,1,1,1,15.475,58.454,0.982,0.42,21128
Weiden,DEU,5,62,2,1,1,1,12.142,49.675,0.983,1.14,25857
Bad_Nauheim,DEU,5,57,2,1,1,1,8.75,50.35,0.988,1.68,43912
Sumperk,CZE,5,70,1,1,1,1,16.962,49.859,0.991,0.69,14477
Bayreuth,DEU,5,108,2,1,1,1,11.583,49.95,0.991,1.89,32806
Slavonski_Brod,HRV,5,83,2,2,2,1,18.012,45.188,0.996,1.68,8506
Regensburg,DEU,5,245,2,1,1,1,12.129,49.046,0.998,1.96,27317
Humenne,SVK,5,76,1,2,1,1,21.796,48.871,1.001,0.71,10456
Laval,FRA,5,73,1,1,1,1,-0.763,48.075,1.003,0.91,16781
Chemnitz,DEU,5,467,3,1,2,1,12.896,50.821,1.003,3.06,18338
Kristianstad,SWE,5,58,1,1,1,1,14.354,55.971,1.003,0.32,21527
La_Rochelle,FRA,5,155,2,1,1,1,-1.109,46.174,1.005,1.21,17313
Coburg,DEU,5,118,2,1,1,1,11.071,50.309,1.005,1.42,25709
Koblenz,DEU,5,261,2,1,1,1,7.552,50.449,1.007,2,30078
Cholet,FRA,5,76,1,1,1,1,-0.888,47.029,1.01,0.99,17009
Kaiserslautern,DEU,5,129,2,1,1,1,7.687,49.446,1.011,2.02,25387
Plauen,DEU,5,102,2,1,1,1,12.146,50.425,1.012,2.05,18367
Citta_di_Castello,ITA,5,53,1,1,1,1,12.179,43.542,1.018,0.59,23475
Rodez,FRA,5,51,1,1,1,1,2.546,44.346,1.021,0.36,15540
Giessen,DEU,5,91,2,1,1,1,8.687,50.584,1.021,1.65,43912
Wetzlar,DEU,5,53,2,1,1,1,8.508,50.567,1.024,1.68,43912
Prievidza,SVK,5,72,2,1,1,1,18.604,48.759,1.025,1.18,12605
Saint_Malo,FRA,5,84,2,1,1,1,-1.933,48.64,1.027,1.07,18091
Vitoria,ESP,5,165,2,1,1,1,-2.65,42.877,1.03,1.75,23879
Lesnoj,RUS,5,82,1,1,1,1,59.654,58.654,1.032,0.36,12957
Nantes,FRA,5,596,2,1,1,1,-1.64,47.255,1.032,1.8,19703
Pula,HRV,5,74,1,1,1,1,13.889,44.816,1.034,0.87,19718
Montceau_les_Mines,FRA,5,86,1,1,1,1,4.408,46.684,1.04,0.82,20324
Braunschweig,DEU,5,514,2,1,1,1,10.475,52.234,1.041,2.41,30368
Vakfikebir,TUR,5,89,2,2,2,1,39.146,41.036,1.041,1.05,4107
Amberg,DEU,5,90,2,1,1,1,11.821,49.463,1.042,1.29,33767
Vlore,ALB,5,81,3,3,3,1,19.499,40.424,1.044,3.6,3380
Stryy,UKR,5,64,2,2,2,1,23.854,49.263,1.047,1.18,7435
Zadar,HRV,5,56,2,2,2,1,15.262,44.135,1.05,1.12,9120
Macon,FRA,5,71,1,1,1,1,4.878,46.323,1.051,0.76,20324
Trabzon,TUR,5,288,2,3,2,1,39.771,40.955,1.053,1.47,2318
Karlovy_Vary,CZE,5,132,1,1,1,1,12.771,50.234,1.061,0.73,16736
Sfantu_Gheorghe,ROU,5,56,2,2,2,1,25.804,45.859,1.062,1.71,9469
Marburg,DEU,5,77,3,1,2,1,8.775,50.813,1.065,2.56,43912
Hof,DEU,5,68,2,1,1,1,11.912,50.309,1.068,1.58,25118
Straubing,DEU,5,68,2,1,1,1,12.625,48.879,1.071,1.05,29945
Sankt_Polten,AUT,5,83,2,1,1,1,15.617,48.096,1.079,1.04,17493
Nowy_Sacz,POL,5,94,2,2,2,1,20.704,49.617,1.079,1.78,8683
Baia_Mare,ROU,5,145,3,2,2,1,23.583,47.654,1.079,3.33,5264
Unye,TUR,5,59,2,3,2,1,37.287,41.114,1.083,1.88,2459
Riga,LVA,5,904,3,1,2,1,24.075,56.935,1.087,2.51,15894
La_Roche_sur_Yon,FRA,5,57,1,1,1,1,-1.392,46.684,1.087,0.84,17309
Split,HRV,5,294,2,2,2,1,16.458,43.515,1.094,2.04,8614
Merano,ITA,5,55,1,1,1,1,11.167,46.659,1.105,0.8,28860
Elbasan,ALB,5,94,2,3,2,1,20.054,41.104,1.105,1.68,3074
Trier,DEU,5,133,2,1,1,1,6.6,49.738,1.106,1.55,40385
Koszalin,POL,5,117,2,1,1,1,16.192,54.196,1.112,1.99,10841
